Episode: 2370 | Steps: 4969411/10000000 | Avg reward: 44.500000 | loss: 0.128811 | Best: 53.200000
Episode: 2380 | Steps: 4988610/10000000 | Avg reward: 43.800000 | loss: 0.152266 | Best: 53.200000
Episode: 2390 | Steps: 5005931/10000000 | Avg reward: 48.800000 | loss: 0.054023 | Best: 53.200000
Episode: 2400 | Steps: 5023481/10000000 | Avg reward: 46.500000 | loss: 0.314638 | Best: 53.200000
Episode: 2410 | Steps: 5039859/10000000 | Avg reward: 46.100000 | loss: 0.087719 | Best: 53.200000
Episode: 2420 | Steps: 5056691/10000000 | Avg reward: 48.000000 | loss: 0.201552 | Best: 53.200000
Episode: 2430 | Steps: 5072448/10000000 | Avg reward: 53.000000 | loss: 0.063128 | Best: 53.200000
Episode: 2440 | Steps: 5090116/10000000 | Avg reward: 41.700000 | loss: 0.153244 | Best: 53.200000
Episode: 2450 | Steps: 5108959/10000000 | Avg reward: 46.700000 | loss: 0.147103 | Best: 53.200000
Episode: 2460 | Steps: 5126989/10000000 | Avg reward: 49.400000 | loss: 0.056446 | Best: 53.200000
Episode: 2470 | Steps: 5143115/10000000 | Avg reward: 54.800000 | loss: 0.070292 | Best: 53.200000
Episode: 2480 | Steps: 5160041/10000000 | Avg reward: 48.700000 | loss: 0.103482 | Best: 54.800000
Episode: 2490 | Steps: 5178036/10000000 | Avg reward: 48.900000 | loss: 0.196872 | Best: 54.800000
Episode: 2500 | Steps: 5195075/10000000 | Avg reward: 48.500000 | loss: 0.106114 | Best: 54.800000
Episode: 2510 | Steps: 5212647/10000000 | Avg reward: 46.700000 | loss: 0.110249 | Best: 54.800000
Episode: 2520 | Steps: 5229336/10000000 | Avg reward: 44.400000 | loss: 0.220836 | Best: 54.800000
Episode: 2530 | Steps: 5244808/10000000 | Avg reward: 54.300000 | loss: 0.114919 | Best: 54.800000
Episode: 2540 | Steps: 5262531/10000000 | Avg reward: 47.400000 | loss: 0.117040 | Best: 54.800000
Episode: 2550 | Steps: 5279514/10000000 | Avg reward: 49.900000 | loss: 0.306373 | Best: 54.800000
Episode: 2560 | Steps: 5296241/10000000 | Avg reward: 46.000000 | loss: 0.143570 | Best: 54.800000
